,LL,PS,HL,SSS,PR,SR,Yield
84,94736842.95,9474.473684,1,1,1170801689,818277581.7,571663.9789
85,126315790.3,9474.473684,1,1,1343056459,932607516.9,594683.5922
86,157894737.6,9474.473684,1,1,1513577290,1045701983,617497.8632
87,189473684.9,9474.473684,1,1,1682417706,1157599041,640113.3266
88,221052632.2,9474.473684,1,1,1849628968,1268335143,662536.2394
89,252631579.5,9474.473684,1,1,2015260185,1377945211,684772.5942
90,284210526.8,9474.473684,1,1,2179358422,1486462713,706828.1324
91,315789474.2,9474.473684,1,1,2341968795,1593919734,728708.3567
92,347368421.5,9474.473684,1,1,2503134575,1700347044,750418.5428
93,378947368.8,9474.473684,1,1,2662897268,1805774160,771963.7498
94,410526316.1,9474.473684,1,1,2821296703,1910229407,793348.8313
95,442105263.4,9474.473684,1,1,2978371114,2013739974,814578.4445
96,473684210.7,9474.473684,1,1,3134157211,2116331969,835657.0601
97,505263158.1,9474.473684,1,1,3288690254,2218030469,856588.9705
98,536842105.4,9474.473684,1,1,3442004120,2318859564,877378.2986
99,568421052.7,9474.473684,1,1,3594131364,2418842410,898029.005
100,6.00E+08,9474.473684,1,1,3745103285,2518001264,918544.8961
101,1,11842.84211,1,1,783191879.4,568050701.7,614009.4324
102,31578948.32,11842.84211,1,1,959247062.2,685067319.2,637421.5904
103,63157895.63,11842.84211,1,1,1133426436,800748014.4,660612.189
104,94736842.95,11842.84211,1,1,1305789709,915135232.3,683588.4882
105,126315790.3,11842.84211,1,1,1476394011,1028269584,706357.4326
106,157894737.6,11842.84211,1,1,1645294019,1140189939,728925.6674
107,189473684.9,11842.84211,1,1,1812542087,1250933514,751299.5532
108,221052632.2,11842.84211,1,1,1978188360,1360535956,773485.1806
109,252631579.5,11842.84211,1,1,2142280881,1469031419,795488.3835
110,284210526.8,11842.84211,1,1,2304865699,1576452640,817314.752
111,315789474.2,11842.84211,1,1,2465986965,1682831004,838969.6438
112,347368421.5,11842.84211,1,1,2625687023,1788196615,860458.1961
113,378947368.8,11842.84211,1,1,2784006496,1892578354,881785.3358
114,410526316.1,11842.84211,1,1,2940984372,1996003936,902955.7899
115,442105263.4,11842.84211,1,1,3096658078,2098499972,923974.0945
116,473684210.7,11842.84211,1,1,3251063556,2200092011,944844.6044
117,505263158.1,11842.84211,1,1,3404235330,2300804600,965571.501
118,536842105.4,11842.84211,1,1,3556206571,2400661323,986158.8007
119,568421052.7,11842.84211,1,1,3707009165,2499684847,1006610.363
120,6.00E+08,11842.84211,1,1,3856673765,2597896968,1026929.895
121,1,14211.21053,1,1,915932634.5,662799611.9,722205.8356
122,31578948.32,14211.21053,1,1,1090263082,778567243.8,745356.721
123,63157895.63,14211.21053,1,1,1262750532,893022698,768291.1232
124,94736842.95,14211.21053,1,1,1433453369,1006207465,791016.1072
125,126315790.3,14211.21053,1,1,1602427461,1118161248,813538.4312
126,157894737.6,14211.21053,1,1,1769726286,1228922050,835864.5627
127,189473684.9,14211.21053,1,1,1935401052,1338526265,858000.6931
128,221052632.2,14211.21053,1,1,2099500814,1447008753,879952.7511
129,252631579.5,14211.21053,1,1,2262072576,1554402918,901726.4164
130,284210526.8,14211.21053,1,1,2423161396,1660740783,923327.1313
131,315789474.2,14211.21053,1,1,2582810476,1766053050,944760.1129
132,347368421.5,14211.21053,1,1,2741061258,1870369172,966030.3634
133,378947368.8,14211.21053,1,1,2897953504,1973717406,987142.6811
134,410526316.1,14211.21053,1,1,3053525378,2076124877,1008101.67
135,442105263.4,14211.21053,1,1,3207813519,2177617624,1028911.747
136,473684210.7,14211.21053,1,1,3360853116,2278220657,1049577.156
137,505263158.1,14211.21053,1,1,3512677975,2377958001,1070101.969
138,536842105.4,14211.21053,1,1,3663320581,2476852745,1090490.099
139,568421052.7,14211.21053,1,1,3812812159,2574927082,1110745.306
140,6.00E+08,14211.21053,1,1,3961182734,2672202352,1130871.205
141,1,16579.57895,1,1,1041666229,752015798,826129.4499
142,31578948.32,16579.57895,1,1,1214293839,866550655.4,849023.3914
143,63157895.63,16579.57895,1,1,1385110568,979796568.7,871705.7982
144,94736842.95,16579.57895,1,1,1554173507,1091794097,894183.5454
145,126315790.3,16579.57895,1,1,1721537294,1202582057,916463.2102
146,157894737.6,16579.57895,1,1,1887254232,1312197607,938551.0873
147,189473684.9,16579.57895,1,1,2051374414,1420676336,960453.2032
148,221052632.2,16579.57895,1,1,2213945829,1528052335,982175.3293
149,252631579.5,16579.57895,1,1,2375014466,1634358279,1003722.995
150,284210526.8,16579.57895,1,1,2534624413,1739625489,1025101.499
151,315789474.2,16579.57895,1,1,2692817949,1843884004,1046315.921
152,347368421.5,16579.57895,1,1,2849635633,1947162640,1067371.133
153,378947368.8,16579.57895,1,1,3005116383,2049489046,1088271.807
154,410526316.1,16579.57895,1,1,3159297559,2150889765,1109022.428
155,442105263.4,16579.57895,1,1,3312215032,2251390283,1129627.297
156,473684210.7,16579.57895,1,1,3463903255,2351015080,1150090.548
157,505263158.1,16579.57895,1,1,3614395330,2449787673,1170416.149
158,536842105.4,16579.57895,1,1,3763723070,2547730667,1190607.911
159,568421052.7,16579.57895,1,1,3911917057,2644865789,1210669.498
160,6.00E+08,16579.57895,1,1,4059006701,2741213936,1230604.432
161,1,18947.94737,1,1,1160751007,835981354.8,926002.5212
162,31578948.32,18947.94737,1,1,1331697285,949299351.4,948643.7527
163,63157895.63,18947.94737,1,1,1500864119,1061351138,971078.2738
164,94736842.95,18947.94737,1,1,1668307336,1172176366,993312.7747
165,126315790.3,18947.94737,1,1,1834080373,1281812985,1015353.656
166,157894737.6,18947.94737,1,1,1998234388,1390297329,1037207.046
167,189473684.9,18947.94737,1,1,2160818383,1497664201,1058878.808
168,221052632.2,18947.94737,1,1,2321879305,1603946943,1080374.563
169,252631579.5,18947.94737,1,1,2481462153,1709177515,1101699.693
170,284210526.8,18947.94737,1,1,2639610068,1813386557,1122859.357
171,315789474.2,18947.94737,1,1,2796364425,1916603456,1143858.502
172,347368421.5,18947.94737,1,1,2951764922,2018856405,1164701.871
173,378947368.8,18947.94737,1,1,3105849653,2120172463,1185394.015
174,410526316.1,18947.94737,1,1,3258655191,2220577604,1205939.301
175,442105263.4,18947.94737,1,1,3410216655,2320096772,1226341.92
176,473684210.7,18947.94737,1,1,3560567779,2418753928,1246605.897
177,505263158.1,18947.94737,1,1,3709740980,2516572095,1266735.1
178,536842105.4,18947.94737,1,1,3857767411,2613573402,1286733.24
179,568421052.7,18947.94737,1,1,4004677027,2709779125,1306603.888
180,6.00E+08,18947.94737,1,1,4150498634,2805209725,1326350.474
181,1,21316.31579,1,1,1273523348,914961100.3,1022033.601
182,31578948.32,21316.31579,1,1,1442809415,1027077859,1044426.264
183,63157895.63,21316.31579,1,1,1610346808,1137950654,1066616.92
184,94736842.95,21316.31579,1,1,1776190125,1247618250,1088612.079
